system:index,region,vegClimZoneLab,pop,ref,skog
+24653+220871,Vestlandet,Sørboreal sone (SB),"2.28057861328125","0.1987848877906799","5.843530128691545"
+24722+223935,Vestlandet,Mellomboreal sone (MB),"4.701972961425781","0.1538141424005682","3.102972104116748"
+24725+223936,Vestlandet,Mellomboreal sone (MB),"5.730255126953125","0.1538141424005682","3.102972104116748"
+24782+223941,Vestlandet,Mellomboreal sone (MB),"7.767181396484375","0.1538141424005682","3.102972104116748"
+24782+223944,Vestlandet,Mellomboreal sone (MB),"4.537200927734375","0.1538141424005682","3.102972104116748"
+30435+215774,Sørlandet,Boreonemoral sone (BN),"2.766958236694336","0.2323970794677734","5.748725656877792"
+30441+215780,Sørlandet,Boreonemoral sone (BN),"2.726224899291992","0.2323970794677734","5.748725656877792"
+30454+215657,Sørlandet,Boreonemoral sone (BN),"4.274869918823242","0.2323970794677734","5.748725656877792"
+30457+215777,Sørlandet,Boreonemoral sone (BN),"4.94158935546875","0.2323970794677734","5.748725656877792"
+30466+215786,Sørlandet,Boreonemoral sone (BN),"3.703288078308105","0.2323970794677734","5.748725656877792"
+30471+215826,Sørlandet,Boreonemoral sone (BN),"3.067862510681152","0.2323970794677734","5.748725656877792"
+30475+215828,Sørlandet,Boreonemoral sone (BN),"4.526408314704895","0.2323970794677734","5.748725656877792"
+30476+215775,Sørlandet,Boreonemoral sone (BN),"4.439302444458008","0.2323970794677734","5.748725656877792"
+30483+215837,Sørlandet,Boreonemoral sone (BN),"4.80727481842041","0.2323970794677734","5.748725656877792"
+30487+215831,Sørlandet,Boreonemoral sone (BN),"7.304930686950684","0.2323970794677734","5.748725656877792"
+30491+215839,Sørlandet,Boreonemoral sone (BN),"0.6765785217285156","0.2323970794677734","5.748725656877792"
+30650+215840,Sørlandet,Boreonemoral sone (BN),"0.6342554092407227","0.2323970794677734","5.748725656877792"
+30655+215841,Sørlandet,Boreonemoral sone (BN),"4.157709121704102","0.2323970794677734","5.748725656877792"
+30657+215899,Sørlandet,Boreonemoral sone (BN),"2.881086826324463","0.2323970794677734","5.748725656877792"
+30669+215897,Sørlandet,Boreonemoral sone (BN),"1.405393600463867","0.2323970794677734","5.748725656877792"
+30674+215894,Sørlandet,Boreonemoral sone (BN),"1.769069671630859","0.2323970794677734","5.748725656877792"
+30676+215889,Sørlandet,Boreonemoral sone (BN),"3.041205406188965","0.2323970794677734","5.748725656877792"
+30704+215903,Sørlandet,Boreonemoral sone (BN),"2.701725959777832","0.2323970794677734","5.748725656877792"
+30798+215913,Sørlandet,Boreonemoral sone (BN),"1.957727551460266","0.2323970794677734","5.748725656877792"
+30803+215908,Sørlandet,Boreonemoral sone (BN),"1.190080642700195","0.2323970794677734","5.748725656877792"
+30809+215912,Sørlandet,Boreonemoral sone (BN),"2.815990924835205","0.2323970794677734","5.748725656877792"
+30826+215925,Sørlandet,Boreonemoral sone (BN),"4.438252925872803","0.2323970794677734","5.748725656877792"
+30827+215923,Sørlandet,Boreonemoral sone (BN),"3.958561182022094","0.2323970794677734","5.748725656877792"
+30835+215917,Sørlandet,Boreonemoral sone (BN),"3.364995718002319","0.2323970794677734","5.748725656877792"
+30837+225168,Østlandet,Nordboreal sone (NB),"4.41424560546875","0.139373779296875","2.373783533768547"
+30839+215923,Sørlandet,Boreonemoral sone (BN),"3.779153227806091","0.2323970794677734","5.748725656877792"
+30852+225161,Østlandet,Nordboreal sone (NB),"4.844970703125","0.139373779296875","2.373783533768547"
+30931+225230,Østlandet,Nordboreal sone (NB),"4.098683675130209","0.139373779296875","2.373783533768547"
+31108+225119,Østlandet,Nordboreal sone (NB),"2.680633544921875","0.139373779296875","2.373783533768547"
+31138+224996,Østlandet,Nordboreal sone (NB),"1.32269287109375","0.139373779296875","2.373783533768547"
+32769+221659,Sørlandet,Mellomboreal sone (MB),"6.81390380859375","1.468292236328125","3.746333083391737"
+32793+221674,Sørlandet,Mellomboreal sone (MB),"1.468292236328125","1.468292236328125","3.746333083391737"
+32813+223583,Østlandet,Mellomboreal sone (MB),"0.78253173828125","0.728179931640625","4.624435236372666"
+32864+221589,Sørlandet,Mellomboreal sone (MB),"1.468292236328125","1.468292236328125","3.746333083391737"
+32871+221591,Sørlandet,Mellomboreal sone (MB),"2.1624755859375","1.468292236328125","3.746333083391737"
+33151+217903,Sørlandet,Boreonemoral sone (BN),"0.3655548095703125","0.2323970794677734","5.748725656877792"
+35925+223277,Østlandet,Sørboreal sone (SB),"1.229682922363281","0.85272216796875","6.749641527678807"
+35942+223269,Østlandet,Sørboreal sone (SB),"0.9509124755859376","0.85272216796875","6.749641527678807"
+35943+223277,Østlandet,Sørboreal sone (SB),"3.340530395507812","0.85272216796875","6.749641527678807"
+35947+223274,Østlandet,Sørboreal sone (SB),"0.85272216796875","0.85272216796875","6.749641527678807"
+36114+223252,Østlandet,Sørboreal sone (SB),"0.85272216796875","0.85272216796875","6.749641527678807"
+36116+223250,Østlandet,Sørboreal sone (SB),"1.295234680175781","0.85272216796875","6.749641527678807"
+36117+223253,Østlandet,Sørboreal sone (SB),"0.85272216796875","0.85272216796875","6.749641527678807"
+36123+223248,Østlandet,Sørboreal sone (SB),"0.85272216796875","0.85272216796875","6.749641527678807"
+36133+223260,Østlandet,Sørboreal sone (SB),"1.515495300292969","0.85272216796875","6.749641527678807"
+36133+223264,Østlandet,Sørboreal sone (SB),"1.589065551757812","0.85272216796875","6.749641527678807"
+37160+230037,Østlandet,Nordboreal sone (NB),"2.480560302734375","0.139373779296875","2.373783533768547"
+38150+235050,Midt-Norge,Sørboreal sone (SB),"2.344341278076172","0.1593577927405681","1.831350345693832"
+38153+235050,Midt-Norge,Sørboreal sone (SB),"1.983543395996094","0.1593577927405681","1.831350345693832"
+38333+235020,Midt-Norge,Sørboreal sone (SB),"1.752071380615234","0.1593577927405681","1.831350345693832"
+38562+219217,Sørlandet,Boreonemoral sone (BN),"0.2323970794677734","0.2323970794677734","5.748725656877792"
+38564+219209,Sørlandet,Boreonemoral sone (BN),"0.2323970794677734","0.2323970794677734","5.748725656877792"
+38566+219211,Sørlandet,Boreonemoral sone (BN),"0.2323970794677734","0.2323970794677734","5.748725656877792"
+38570+219217,Sørlandet,Boreonemoral sone (BN),"0.4086153507232666","0.2323970794677734","5.748725656877792"
+38573+219210,Sørlandet,Boreonemoral sone (BN),"0.2323970794677734","0.2323970794677734","5.748725656877792"
+38673+219227,Sørlandet,Boreonemoral sone (BN),"0.2323970794677734","0.2323970794677734","5.748725656877792"
+38787+219223,Sørlandet,Boreonemoral sone (BN),"0.2323970794677734","0.2323970794677734","5.748725656877792"
+38813+219218,Sørlandet,Boreonemoral sone (BN),"0.2347569465637207","0.2323970794677734","5.748725656877792"
+38814+219227,Sørlandet,Boreonemoral sone (BN),"0.2323970794677734","0.2323970794677734","5.748725656877792"
+38821+219206,Sørlandet,Boreonemoral sone (BN),"0.2323970794677734","0.2323970794677734","5.748725656877792"
+38821+219221,Sørlandet,Boreonemoral sone (BN),"0.5948648452758789","0.2323970794677734","5.748725656877792"
+39304+226512,Østlandet,Mellomboreal sone (MB),"1.546310424804688","0.728179931640625","4.624435236372666"
+39305+226360,Østlandet,Sørboreal sone (SB),"0.85272216796875","0.85272216796875","6.749641527678807"
+39324+226354,Østlandet,Mellomboreal sone (MB),"1.2938232421875","0.728179931640625","4.624435236372666"
+39398+226361,Østlandet,Mellomboreal sone (MB),"0.728179931640625","0.728179931640625","4.624435236372666"
+39412+226364,Østlandet,Mellomboreal sone (MB),"1.301284790039062","0.728179931640625","4.624435236372666"
+39759+226357,Østlandet,Mellomboreal sone (MB),"0.728179931640625","0.728179931640625","4.624435236372666"
+39781+226556,Østlandet,Mellomboreal sone (MB),"0.728179931640625","0.728179931640625","4.624435236372666"
+39784+226564,Østlandet,Mellomboreal sone (MB),"0.728179931640625","0.728179931640625","4.624435236372666"
+39795+226563,Østlandet,Mellomboreal sone (MB),"5.287261962890625","0.728179931640625","4.624435236372666"
+39801+226554,Østlandet,Mellomboreal sone (MB),"0.728179931640625","0.728179931640625","4.624435236372666"
+40003+235700,Midt-Norge,Sørboreal sone (SB),"4.377395629882812","0.1593577927405681","1.831350345693832"
+40026+235706,Midt-Norge,Sørboreal sone (SB),"5.145755767822266","0.1593577927405681","1.831350345693832"
+40026+235764,Midt-Norge,Sørboreal sone (SB),"0.3913345336914062","0.1593577927405681","1.831350345693832"
+40033+235756,Midt-Norge,Sørboreal sone (SB),"0.4266738891601562","0.1593577927405681","1.831350345693832"
+40034+235754,Midt-Norge,Sørboreal sone (SB),"0.7946319580078125","0.1593577927405681","1.831350345693832"
+40045+235933,Midt-Norge,Sørboreal sone (SB),"3.43543815612793","0.1593577927405681","1.831350345693832"
+40122+235722,Midt-Norge,Sørboreal sone (SB),"0.1593577927405681","0.1593577927405681","1.831350345693832"
+40124+235777,Midt-Norge,Sørboreal sone (SB),"0.1593577927405681","0.1593577927405681","1.831350345693832"
+40126+235724,Midt-Norge,Sørboreal sone (SB),"3.37359619140625","0.1593577927405681","1.831350345693832"
+40131+235775,Midt-Norge,Sørboreal sone (SB),"0.5305900573730469","0.1593577927405681","1.831350345693832"
+41330+236949,Midt-Norge,Sørboreal sone (SB),"2.025062561035156","0.1593577927405681","1.831350345693832"
+41350+225818,Østlandet,Sørboreal sone (SB),"3.1334228515625","0.85272216796875","6.749641527678807"
+41350+236948,Midt-Norge,Sørboreal sone (SB),"5.428680419921875","0.1593577927405681","1.831350345693832"
+41354+225819,Østlandet,Sørboreal sone (SB),"1.754058837890625","0.85272216796875","6.749641527678807"
+41416+238910,Midt-Norge,Sørboreal sone (SB),"11.54641723632812","0.1593577927405681","1.831350345693832"
+41452+238860,Midt-Norge,Sørboreal sone (SB),"1.742462158203125","0.1593577927405681","1.831350345693832"
+41466+238963,Midt-Norge,Sørboreal sone (SB),"5.867486000061035","0.1593577927405681","1.831350345693832"
+41491+236754,Midt-Norge,Sørboreal sone (SB),"4.528144836425781","0.1593577927405681","1.831350345693832"
+41495+236950,Midt-Norge,Sørboreal sone (SB),"0.3776950836181641","0.1593577927405681","1.831350345693832"
+41499+236951,Midt-Norge,Sørboreal sone (SB),"0.1593577927405681","0.1593577927405681","1.831350345693832"
+41501+236948,Midt-Norge,Sørboreal sone (SB),"0.3104896545410156","0.1593577927405681","1.831350345693832"
+41504+236765,Midt-Norge,Sørboreal sone (SB),"3.376358032226562","0.1593577927405681","1.831350345693832"
+41505+236952,Midt-Norge,Sørboreal sone (SB),"1.029671669006348","0.1593577927405681","1.831350345693832"
+41509+236762,Midt-Norge,Sørboreal sone (SB),"0.1593577927405681","0.1593577927405681","1.831350345693832"
